6,5,0,4,3,10
abnormal appearance,cardiac wall motion,focal collapse,abnormal rhythm,abnormal stress,sweating
abnormal image,acute angina,abnormal rotation sound,anti dysrrhythmia,abnormalties,fever
abnormal wall motion,angina and rhythm changes,advancing resistance,arrhythmia,accordion appearance,depressed
abnormalities in appearance,angina symptom,balloon difficulty,arrhythmic,accordioned effect,depression
abnormality,atropine,broke resistance,asymptomatic,accordioning,degradation
abnormality defect,cardiovascular cv symptoms,compression forces,asystole,activation failures,detachment
akinesia,clopidogrel,diffusion restriction,asystole symptoms,angularity,dismantled
akinesis,electrocardiogram changes,excessive force,asystolic,balloon fold,distorted
angiographic appearance,prasugrel,excessive forces,asystolic state,balloon withdrawal resistance,distortion
angiographic material,sleep apnea,felt resistance,atrial fibrillation,banged up,excavation
anterior defect,slow flow symptoms,force resistance,atrial fibrillation episode,bent subsequently,faint
anterior hypokinesia,stable angina,anxiety depression,atrial flutter,bond break,coughed
anteroseptal defect,abnormal stress test,cardiac compression,atrial rhythm,branch percent,coughing
apical septal perfusion defect,agonal aspirations,acidosis,atrioventricular block,break bumper,choking
apical wall defect,allergic reaction rash,activation failure,av block,break existed,
ascites,allergic to nickel,acute changes,av block right bundle branch block,break occurred,
atelectasis,allergy to metal,acute findings,av paced,breaksite,
axial length change,allergic to many substances,acute issues,av paced rhythm,bunched,
base airspace,anemia,acute process,back into sinus rhythm,bunching,
central vascular congestion,angia pectoris,additional resistance,blocked atrial premature complex,calcium burden,
collateral,angina attack,advancing difficulty,brady arrest,calcium crushing,
collaterals,angina dyspnea,advancing issue,bradyarrhythmias,calcium disruption,
defects in appearance,angina event,aspiration,bradycardia,calcium plaque,
dilated resistance,angina occurrence,bad condition,bradycardic,class symptoms,
discrete filling defect,angina pectoris,balloon failure,cardiac electrical activity,coating detachment,
diseased tissue,angina recurrence,balloon issues,cardiac rhythm,coating peeled,
filling defect,angioedema,bleeding,conduction delay,component break,
fixed perfusion defect,antiplatelet relatedness,bleeding activity,dual paced complexes,connection problem,
flow irregularities,anxiety asthma,bleeding episodes,ectopic beats,contrast medium residue,
flow narrowing,asthma,bleeding incidence,ectopics,cracked hub,
focal clot,asthma bronchial,bleeding issues,ectopy,crossign difficulties,
hazy filling defect,bad heart condition,bleeding outcomes,fibrillation,damage defect,
hypertrophy,cad hyper,bleeding related,heart block,damage stretching,
hypocellular areas,calcium fractures,bleeding risk,idioventricular rhythm,debris shift,
hypodensities,cardiac disturbances,blood flow issues,intra ventricular block,deflated state,
incomplete expansion,cardiac enzyme elevation,breathing difficulty,irregular heart rhythms,degree bend,
inferior attenuation artifact,cardiac enzyme leak,breathing issues,irregular heartbeat,design defect,
inferior defect,cardiac function,breathing problem,junctional escape rhythm,dilemma,
inferior wall perfusion defect,cardiac insufficiency,breathing problems,junctional rhythm,electrical tsunami,
inferolateral injury pattern,cardiac murmur,cardiac compressions,left bundle branch block pattern,enzyme release,
