Unspecified / No Adverse Event,Vascular Occlusion / Thrombosis / Stroke,Material Failure / Structural Damage,Vascular Abnormalities,Obstructions & Blockages,Cardiac Disorders,Pain and General Symptoms,Device Malfunction / Use Error,Electrolyte & Metabolic Imbalance,Device Insertion / Positioning Failures,Respiratory Dysfunction,Allergic / Immune Reactions,Arrhythmias,Device Displacement / Entrapment,Loss of Consciousness / Shock,Device Migration / Misplacement,Cardiac Arrest & Rhythm Events,Pulmonary Embolism & Hemorrhagic Events,Renal and Hepatic Dysfunction,Fluid/Blood Complications,,,,
Appropriate Term/Code Not Available,Thrombosis/Thrombus,Material Twisted/Bent,Atherosclerosis,Mechanical Jam,Congestive Heart Failure,Pain,Improper or Incorrect Procedure or Method,Electrolyte Imbalance,Difficult or Delayed Positioning,Diminished Pulse Pressure,Rash,Tachycardia,Physical Resistance/Sticking,Transient Ischemic Attack,Migration,Complete Heart Block,Hemothorax,Urinary Retention,,,,,
Off-Label Use,Myocardial Infarction,Break,Fistula,Partial Blockage,Pulmonary Edema,Fatigue,Use of Device Problem,Hyperkalemia,Difficult to Insert,Respiratory Distress,Asthma,Arrhythmia,Device Damaged by Another Device,Hallucination,Sepsis,Non specific EKG/ECG Changes,Pulmonary Embolism,Unspecified Kidney or Urinary Problem,Pleural Effusion,,,,
"No Clinical Signs, Symptoms or Conditions",Myocardial Contusion,Burst Container or Vessel,Ruptured Aneurysm,Kinked,Cardiogenic Shock,Muscle Spasm(s),Defective Device,Hypokalemia,Inaccurate Delivery,Respiratory Arrest,Bronchitis,Atrial Flutter,Detachment of Device or Device Component,Coma,Stretched,Loss Of Pulse,Air Embolism,Renal Impairment,Leak/Splash,,,,
No Known Impact Or Consequence To Patient,Intimal Dissection,Deformation Due to Compressive Stress,"Regurgitation, Valvular",Complete Blockage,Unspecified Heart Problem,Headache,Device Markings/Labelling Problem,Elevated ketones/Diabetic Ketoacidosis,Failure to Fold,Cyanosis,Urticaria,Atrial Tachycardia,"Vessel Or Plaque, Device Embedded In",Delirium,Expulsion,Ventricular Fibrillation,Hemoptysis,Liver Damage/Dysfunction,Hematoma,,,,
No Apparent Adverse Event,ST Segment Elevation,Material Fragmentation,Aortic Dissection,Obstruction/Occlusion,Ischemic Heart Disease,Intraoperative Pain,Nonstandard Device,Hyperglycemia,Component Misassembled,Respiratory Failure,Hypersensitivity/Allergic reaction,Bradycardia,Device Embedded In Tissue or Plaque,Diaphoresis,Therapy Delivered to Incorrect Body Area,Cardiac Arrest,,Renal Failure,Hydrocephalus,,,,
High Blood Pressure/ Hypertension,Ischemia Stroke,"Material Split, Cut or Torn",Restenosis,Occlusion,Cardiomyopathy,Chest Pain,Difficult or Delayed Activation,,Wrong Label,Ventilator Dependent,Chronic Obstructive Pulmonary Disease (COPD),Palpitations,Malposition of Device,Collapse,Physical Resistance,Asystole,,Urinary Tract Infection,Fluid/Blood Leak,,,,
Test Result,"Hemorrhage, Cerebral",Peeled/Delaminated,Vasoconstriction,Obstruction of Flow,Cardiac Enzyme Elevation,Fever,Inadequacy of Device Shape and/or Size,,Difficult To Position,Respiratory Insufficiency,Bronchospasm,Atrial Fibrillation,Device Dislodged or Dislocated,Shock,Movement Disorder,ST Segment Depression,,Multiple Organ Dysfunction Syndrome,Abscess,,,,
Toxemia,Hemorrhage/Blood Loss/Bleeding,Structural Problem,Stenosis,Occlusion Within Device,Heart Failure/Congestive Heart Failure,Neurological Deficit/Dysfunction,Activation Failure,,Failure to Advance,Anoxia,Staphylococcus Aureus,,Unintended Radiation Exposure,Syncope,Bent,Ventricular Tachycardia,,,Extravasation,,,,
Death,Thrombosis,Rupture,Aortic Valve Stenosis,Reocclusion,Left Ventricular Hypertrophy,Paralysis,Component or Accessory Incompatibility,,Device Misassembled During Manufacturing /Shipping,Reduced Blood Flow,Pneumonia,,Unintended Movement,Anaphylactic Shock,Local Reaction,Heart Block,,,Calcium Deposits/Calcification,,,,
No Consequences Or Impact To Patient,Stroke/CVA,Material Distortion,Aneurysm,,Cardiac Tamponade,Tingling,Deflation Problem,,Positioning Problem,Dyspnea,,,Entrapment of Device,Loss of consciousness,Unstable,Cardiopulmonary Arrest,,,Blood Loss,,,,
"Complaint, Ill-Defined",Arteriosclerosis/ Atherosclerosis,Material Puncture/Hole,Pseudoaneurysm,,Pericardial Effusion,Itching Sensation,Device Operates Differently Than Expected,,Failure to Deflate,Hypoxia,,,Detachment Of Device Component,Syncope/Fainting,Dyskinesia,Sudden Cardiac Death,,,Swelling/ Edema,,,,
Anemia,Ischemia,Tissue Damage,,,Heart Failure,Rheumatoid Arthritis,Device-Device Incompatibility,,Component Missing,,,,Migration or Expulsion of Device,Low Blood Pressure/ Hypotension,Prolapse,,,,Swelling,,,,
Insufficient Information,"Infarction, Cerebral",Unspecified Tissue Injury,,,Low Cardiac Output,Shaking/Tremors,Defective Component,,Loss of or Failure to Bond,,,,Device Slipped,Septic Shock,Reaction,,,,Abdominal Distention,,,,
Cancer,Hemorrhagic Stroke,Material Separation,,,Mitral Regurgitation,Inflammation,Failure of Implant,,Difficult to Advance,,,,Unintended System Motion,Dizziness,Foreign Body In Patient,,,,Macular Edema,,,,
Visual Impairment,Thromboembolism,Perforation,,,,Nausea,Therapeutic or Diagnostic Output Failure,,Failure to Deliver,,,,,Hypovolemic Shock,,,,,,,,,
No Patient Involvement,Perforation of Vessels,Material Too Rigid or Stiff,,,,Angina,Contamination /Decontamination Problem,,Difficult to Remove,,,,,Confusion/ Disorientation,,,,,,,,,
Patient Problem/Medical Problem,Embolism/Embolus,Material Integrity Problem,,,,Constipation,Product Quality Problem,,Positioning Failure,,,,,,,,,,,,,,
