Physical impairments,Serious Adverse Events in Clinical Settings,Product Issues / Malfunction,Respiratory and Neurological Symptoms,General Discomfort and Systemic Symptoms,Device Malfunction and Pressure Loss,Coronary Artery Complications and Stenosis,Electrocardiogram Findings in Myocardial Injury and Ischemia,"Clinical Manifestations of Skin, Vascular, and Systemic Disorders",Device-Related Mechanical Failures in DES Interventions,Calcification-Related Complications,Cardiac Events and Arrhythmic Complications in Cardiovascular Procedures
able to drink things,abnormal damage,adverse complication,agonal breathing,air tightness,anatomical resistance,aneurysm,angina st segment elevation,ankle edema,balloon break fracture,bulky calcification,acute angina
able to sleep,accidental movement,agent leak,air cramping in,backache,antegrade flow,anomaly,anterior q waves,black stool,balloon damage,ca lcification,angina and rhythm changes
acutely unstable,acute injury,air aspiration,breathlessness,blurred vision,attenuation,anterior infarct,anterior st elevation,black tarry stool,balloon dog bone,calcific stenosis,angina symptom
akinesia,acute kink,air leak,breathlessness saturation,body ache,axial deformation,anterior ischemia,anterior st segment elevation,blisters,balloon tear,calcific structure,atropine
akinesis,adverse cardiac event,air tight,chest symptoms,burning feeling,balloon deformation,anterior defect,anterior t wave inversion,blood like substance,balloon torn,calcification,cardiovascular cv symptoms
alteration in mental status,adverse cardiovascular events,anatomy resistance,crepitations,burning sensation,bend or kinks,anterior hypokinesia,apical thrill,blood present,bent shaft,calcification angulation,clopidogrel
alteration of mental status,adverse cerebral,back flow,diaphoresis,chest burning,bends kinks,anteroseptal infarct,av block st elevation,blood residue,blow up,calcification deformation,electrocardiogram changes
altered mental status,adverse clinical events,backflow,difficulty in breathing,chills,blood flow interruption,aortic insufficiency,inferior leads,bloody stool,branch closure,calcification deformation issue,prasugrel
apneic,adverse consequences,balloon break,difficulty walking,cold sweat,compromise of flow,aortic stenosis,inferior st elevation,brittle,break fracture,calcification deformation problem,sleep apnea
apneic pulse,adverse event product problem,balloon burst,dizziness,cold sweating,contamination material deformation,aortic valve sclerosis,inferior st segment elevation,brown marks stains,breakage,calcification or tortuosity,slow flow symptoms
brain stem reflexes,adverse patient effect,balloon burst leak,dizziness and,cold sweats,crush deformation,aortic valve stenosis,inverted t waves,bruise,broke in pieces,calcification pre dilatation,stable angina
brainstem reflex,adverse patient sequelae,balloon contrast,dizziness weakness,coldness,dampened flow,apical infarction,isr pattern,bruits,broke into parts,calcification resistance,anti dysrrhythmia
broke off,adverse sequela,balloon displacement,dizzy short of breath,cough,degradation,apical stenosis,lateral t wave changes,bulging,broke into pieces,calcification stenosis,arrhythmia
buckling,adverse sequelae,balloon expansion,dyspnea,disturbing feeling,detachment,arterial dissection,p waves marching,cold skin clamminess,broken off,calcification structure,arrhythmic
