6,1,4,5,2,0,3
able to drink things,abnormal,abnormal appearance,abnormal damage,abnormal stress test,accidental movement,aching
able to sleep,accumulation,abnormal image,abnormal rotation sound,acute kink,activation failure,actions
adverse cardiovascular events,acidosis,abnormal rhythm,abnormal wall motion,adventitial rupture,acute injury,anger
adverse clinical events,adenopa,abnormal stress,abnormalities in appearance,adverse cardiac event,acute issues,bending
adverse event product problem,adenopathi,abnormality,activation failures,adverse patient effect,additional resistance,breaking
adverse patient sequelae,air tight,abnormality defect,acute findings,akinesis,advancing difficulty,breaks
air cramping in,alpine,abnormalties,acutely unstable,allergic to gold,advancing issue,bridge
allergic reaction of hives,anemia,accordion,additional dilatation,aneurysm,agitated,broken
allergic to many substances,angularity,accordion appearance,advancing resistance,angia pectoris,agonal aspirations,burning
allergic to nickel,angulation,accordion shape,adverse complication,angina attack,agonal breathing,burst
allergy to metal,anomaly,accordioned effect,adverse consequences,angina dyspnea,air aspiration,cancer
alteration of mental status,anxiety,accordioning,adverse sequelae,angina event,air tightness,damage
angina and rhythm changes,anxious,acute angina,adverse symptoms,angina ischemia,allergic,death
anterior q waves,apnea,acute changes,akinesia,angina pectoris,anomalies,episode
anterior st segment elevation,asleep,acute infiltrate,allergic reaction rash,angina resolve,anxiety asthma,error
anterior t wave inversion,aspiration,acute process,alteration in mental status,angina st segment elevation,anxiety depression,hole
anti platelet effects,atheros,advancing break,altered mental status,angina status,apical stenosis,induced
atrial fibrillation episode,attenuation,adverse cerebral,anatomical abnormalities,angioedema,base airspace,issue
atrioventricular block,back flow,adverse sequela,anatomical challenges,angiographic appearance,belching,itching
av block right bundle branch block,backache,agent leak,anatomical procedural factors,angiographic changes,black coating,liquid
balloon leak rupture burst,backflow,air embolism,anatomical resistance,angiographic material,bleeding,non adherence
balloon material peeling,bad condition,air leak,angina occurrence,angulation tortuosity,bleeding related,pattern
balloon material rupture,bad heart condition,air seep,angina recurrence,ankle edema,blood residue,regulation
be bunched up,bent shaft,an gina,angular tortuosity,antegrade flow,blow up,remnants
bend on the hypotube,bigeminy,anaphylaxi,anterior defect,anterior hypokinesia,blurred vision,remove
bend or kinks,black shadow,anatomy,anterior st elevation,anterior ischemia,break existed,resistant
bleeding stroke vessel,black stool,anatomy resistance,antiplatelet relatedness,anteroseptal defect,break fracture,rough
blocked atrial premature complex,bleed,angina symptom,aortic regurgitation,anteroseptal infarct,broken pieces,shock
break in the hypotube,bleeds,anginal equivalent,aortic stenosis,apical ischemia,bulging,stroke
burst leak rupture,blisters,angiography,aortic valve sclerosis,apical septal perfusion defect,burning feeling,
can barely move,blockage,angioplasty,aortic valve stenosis,apneic pulse,burning sensation,
carbon dioxide went down,blood clot,anterior infarct,arterial hypotension,arrhythmia,burst rupture,
catch his breath,blood contrast,anti dysrrhythmia,artery rupture,arrhythmic,by bacteria,
cerebrovascular events,blood leak,aortic insufficiency,asystolic state,arterial ischemia,calcific stenosis,
clinical adverse event,blood loss,apical infarction,av fistula,ashaft break,calcium stenosis,
conformances that,blood return,apical thrill,av paced,asthma bronchial,cardiac anomaly,
could not walk,boils,apical wall defect,av paced rhythm,asymptomatic,cardiac compression,
